TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,
  0.6660000E+05,  0.1800000E+04,        19,         1,         1,  0.4151518E+01,  0.4151070E+01,  0.4151852E+01,  0.4158037E+01,  0.4165598E+01,  0.4121516E+01,  0.4085273E+01,  0.4062615E+01,  0.4148062E+01,  0.4119396E+01,  0.4090251E+01,  0.4071397E+01,  0.4061597E+01,  0.4051913E+01,  0.3279234E+01,  0.3146503E+01,  0.3041973E+01,  0.2961208E+01,
  0.6840000E+05,  0.1800000E+04,        19,         2,         1,  0.4133126E+01,  0.4132800E+01,  0.4133282E+01,  0.4137120E+01,  0.4140977E+01,  0.4106232E+01,  0.4076020E+01,  0.4055939E+01,  0.4130565E+01,  0.4108778E+01,  0.4083927E+01,  0.4065773E+01,  0.4055178E+01,  0.4045657E+01,  0.3318752E+01,  0.3190045E+01,  0.3084846E+01,  0.3000462E+01,
  0.7020000E+05,  0.1800000E+04,        20,         1,         1,  0.4056864E+01,  0.4056276E+01,  0.4056366E+01,  0.4057644E+01,  0.4058311E+01,  0.4034922E+01,  0.4012794E+01,  0.3996849E+01,  0.4054860E+01,  0.4041096E+01,  0.4022514E+01,  0.4006771E+01,  0.3996367E+01,  0.3987882E+01,  0.3295575E+01,  0.3178872E+01,  0.3080527E+01,  0.2999047E+01,
  0.7200000E+05,  0.1800000E+04,        20,         2,         1,  0.3934276E+01,  0.3933394E+01,  0.3933370E+01,  0.3933417E+01,  0.3933263E+01,  0.3920170E+01,  0.3906048E+01,  0.3894684E+01,  0.3932809E+01,  0.3926520E+01,  0.3915206E+01,  0.3903415E+01,  0.3894418E+01,  0.3887610E+01,  0.3213140E+01,  0.3114484E+01,  0.3029106E+01,  0.2956432E+01,
  0.7380000E+05,  0.1800000E+04,        21,         1,         1,  0.3815918E+01,  0.3815025E+01,  0.3814941E+01,  0.3814927E+01,  0.3814352E+01,  0.3805853E+01,  0.3796095E+01,  0.3787791E+01,  0.3814685E+01,  0.3811111E+01,  0.3803485E+01,  0.3794749E+01,  0.3787620E+01,  0.3782373E+01,  0.3102261E+01,  0.3020985E+01,  0.2949718E+01,  0.2888176E+01,
  0.7560000E+05,  0.1800000E+04,        21,         2,         1,  0.3697899E+01,  0.3697012E+01,  0.3696855E+01,  0.3696611E+01,  0.3695160E+01,  0.3690581E+01,  0.3684571E+01,  0.3678990E+01,  0.3696814E+01,  0.3695284E+01,  0.3690632E+01,  0.3684393E+01,  0.3678900E+01,  0.3675093E+01,  0.2977478E+01,  0.2912786E+01,  0.2855621E+01,  0.2805851E+01,
  0.7740000E+05,  0.1800000E+04,        22,         1,         1,  0.3600103E+01,  0.3599394E+01,  0.3599267E+01,  0.3599038E+01,  0.3597830E+01,  0.3594698E+01,  0.3590489E+01,  0.3586510E+01,  0.3599249E+01,  0.3598252E+01,  0.3595017E+01,  0.3590498E+01,  0.3586450E+01,  0.3583692E+01,  0.2857187E+01,  0.2805978E+01,  0.2760866E+01,  0.2721640E+01,
  0.7920000E+05,  0.1800000E+04,        22,         2,         1,  0.3517044E+01,  0.3516464E+01,  0.3516355E+01,  0.3516115E+01,  0.3515013E+01,  0.3512971E+01,  0.3510100E+01,  0.3507307E+01,  0.3516351E+01,  0.3515721E+01,  0.3513463E+01,  0.3510232E+01,  0.3507269E+01,  0.3505289E+01,  0.2746217E+01,  0.2706315E+01,  0.2671402E+01,  0.2641138E+01,
  0.8100000E+05,  0.1800000E+04,        23,         1,         1,  0.3448802E+01,  0.3448381E+01,  0.3448300E+01,  0.3448117E+01,  0.3447284E+01,  0.3445787E+01,  0.3443710E+01,  0.3441693E+01,  0.3448298E+01,  0.3447838E+01,  0.3446168E+01,  0.3443812E+01,  0.3441665E+01,  0.3440235E+01,  0.2649023E+01,  0.2617852E+01,  0.2591011E+01,  0.2567943E+01,
  0.8280000E+05,  0.1800000E+04,        23,         2,         1,  0.3392149E+01,  0.3391832E+01,  0.3391771E+01,  0.3391633E+01,  0.3391001E+01,  0.3389904E+01,  0.3388381E+01,  0.3386913E+01,  0.3391770E+01,  0.3391434E+01,  0.3390196E+01,  0.3388454E+01,  0.3386893E+01,  0.3385853E+01,  0.2565649E+01,  0.2541350E+01,  0.2520756E+01,  0.2503280E+01,
