TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,
  0.7740000E+05,  0.1800000E+04,        22,         1,         1,  0.3600102E+01,  0.3599393E+01,  0.3599266E+01,  0.3599037E+01,  0.3597829E+01,  0.3594697E+01,  0.3590489E+01,  0.3586509E+01,  0.3599248E+01,  0.3598251E+01,  0.3595016E+01,  0.3590497E+01,  0.3586449E+01,  0.3583691E+01,  0.2857187E+01,  0.2805977E+01,  0.2760865E+01,  0.2721639E+01,
  0.7920000E+05,  0.1800000E+04,        22,         2,         1,  0.3517045E+01,  0.3516465E+01,  0.3516356E+01,  0.3516116E+01,  0.3515014E+01,  0.3512971E+01,  0.3510101E+01,  0.3507308E+01,  0.3516352E+01,  0.3515722E+01,  0.3513464E+01,  0.3510233E+01,  0.3507270E+01,  0.3505290E+01,  0.2746216E+01,  0.2706314E+01,  0.2671402E+01,  0.2641137E+01,
  0.8100000E+05,  0.1800000E+04,        23,         1,         1,  0.3448801E+01,  0.3448380E+01,  0.3448300E+01,  0.3448117E+01,  0.3447284E+01,  0.3445786E+01,  0.3443709E+01,  0.3441692E+01,  0.3448297E+01,  0.3447837E+01,  0.3446167E+01,  0.3443812E+01,  0.3441665E+01,  0.3440234E+01,  0.2649021E+01,  0.2617850E+01,  0.2591009E+01,  0.2567941E+01,
  0.8280000E+05,  0.1800000E+04,        23,         2,         1,  0.3392149E+01,  0.3391832E+01,  0.3391771E+01,  0.3391633E+01,  0.3391001E+01,  0.3389904E+01,  0.3388381E+01,  0.3386913E+01,  0.3391770E+01,  0.3391434E+01,  0.3390196E+01,  0.3388454E+01,  0.3386893E+01,  0.3385853E+01,  0.2565646E+01,  0.2541348E+01,  0.2520754E+01,  0.2503278E+01,
  0.8460000E+05,  0.1800000E+04,        24,         1,         1,  0.3344970E+01,  0.3344726E+01,  0.3344680E+01,  0.3344578E+01,  0.3344106E+01,  0.3343290E+01,  0.3342161E+01,  0.3341076E+01,  0.3344679E+01,  0.3344430E+01,  0.3343507E+01,  0.3342215E+01,  0.3341061E+01,  0.3340299E+01,  0.2494708E+01,  0.2475758E+01,  0.2459954E+01,  0.2446682E+01,
  0.8640000E+05,  0.1800000E+04,        24,         2,         1,  0.3305405E+01,  0.3305217E+01,  0.3305182E+01,  0.3305104E+01,  0.3304755E+01,  0.3304150E+01,  0.3303315E+01,  0.3302512E+01,  0.3305181E+01,  0.3304992E+01,  0.3304309E+01,  0.3303353E+01,  0.3302501E+01,  0.3301939E+01,  0.2434716E+01,  0.2419987E+01,  0.2407891E+01,  0.2397845E+01,
  0.8820000E+05,  0.1800000E+04,        25,         1,         1,  0.3272020E+01,  0.3271874E+01,  0.3271847E+01,  0.3271789E+01,  0.3271526E+01,  0.3271073E+01,  0.3270448E+01,  0.3269849E+01,  0.3271847E+01,  0.3271699E+01,  0.3271189E+01,  0.3270475E+01,  0.3269840E+01,  0.3269422E+01,  0.2383810E+01,  0.2372409E+01,  0.2363156E+01,  0.2355541E+01,
  0.9000000E+05,  0.1800000E+04,        25,         2,         1,  0.3243665E+01,  0.3243552E+01,  0.3243532E+01,  0.3243486E+01,  0.3243286E+01,  0.3242942E+01,  0.3242470E+01,  0.3242019E+01,  0.3243531E+01,  0.3243419E+01,  0.3243031E+01,  0.3242491E+01,  0.3242012E+01,  0.3241698E+01,  0.2340946E+01,  0.2332044E+01,  0.2324912E+01,  0.2319100E+01,
  0.9180000E+05,  0.1800000E+04,        25,         3,         1,  0.3219363E+01,  0.3219274E+01,  0.3219258E+01,  0.3219222E+01,  0.3219066E+01,  0.3218805E+01,  0.3218447E+01,  0.3218104E+01,  0.3219258E+01,  0.3219172E+01,  0.3218876E+01,  0.3218464E+01,  0.3218100E+01,  0.3217861E+01,  0.2304571E+01,  0.2297590E+01,  0.2292066E+01,  0.2287602E+01,
  0.9360000E+05,  0.1800000E+04,        25,         4,         1,  0.3198411E+01,  0.3198342E+01,  0.3198329E+01,  0.3198302E+01,  0.3198181E+01,  0.3197980E+01,  0.3197705E+01,  0.3197441E+01,  0.3198329E+01,  0.3198262E+01,  0.3198031E+01,  0.3197716E+01,  0.3197438E+01,  0.3197255E+01,  0.2273299E+01,  0.2267798E+01,  0.2263522E+01,  0.2260082E+01,
  0.9540000E+05,  0.1800000E+04,        25,         5,         1,  0.3180168E+01,  0.3180118E+01,  0.3180108E+01,  0.3180088E+01,  0.3179995E+01,  0.3179840E+01,  0.3179627E+01,  0.3179423E+01,  0.3180108E+01,  0.3180055E+01,  0.3179875E+01,  0.3179634E+01,  0.3179420E+01,  0.3179279E+01,  0.2246515E+01,  0.2242172E+01,  0.2238827E+01,  0.2236153E+01,
  0.9720000E+05,  0.1800000E+04,        25,         6,         1,  0.3164280E+01,  0.3164241E+01,  0.3164233E+01,  0.3164217E+01,  0.3164144E+01,  0.3164023E+01,  0.3163856E+01,  0.3163698E+01,  0.3164233E+01,  0.3164192E+01,  0.3164050E+01,  0.3163862E+01,  0.3163695E+01,  0.3163586E+01,  0.2223432E+01,  0.2219984E+01,  0.2217351E+01,  0.2215256E+01,
  0.9900000E+05,  0.1800000E+04,        25,         7,         1,  0.3150323E+01,  0.3150291E+01,  0.3150285E+01,  0.3150272E+01,  0.3150214E+01,  0.3150117E+01,  0.3149987E+01,  0.3149863E+01,  0.3150285E+01,  0.3150252E+01,  0.3150141E+01,  0.3149993E+01,  0.3149861E+01,  0.3149775E+01,  0.2203405E+01,  0.2200654E+01,  0.2198568E+01,  0.2196916E+01,
  0.1008000E+06,  0.1800000E+04,        25,         8,         1,  0.3138037E+01,  0.3138011E+01,  0.3138007E+01,  0.3137996E+01,  0.3137950E+01,  0.3137873E+01,  0.3137770E+01,  0.3137672E+01,  0.3138007E+01,  0.3137981E+01,  0.3137892E+01,  0.3137775E+01,  0.3137671E+01,  0.3137603E+01,  0.2185934E+01,  0.2183726E+01,  0.2182062E+01,  0.2180750E+01,
  0.1026000E+06,  0.1800000E+04,        25,         9,         1,  0.3127171E+01,  0.3127150E+01,  0.3127146E+01,  0.3127138E+01,  0.3127101E+01,  0.3127040E+01,  0.3126957E+01,  0.3126879E+01,  0.3127146E+01,  0.3127125E+01,  0.3127054E+01,  0.3126961E+01,  0.3126878E+01,  0.3126824E+01,  0.2170608E+01,  0.2168826E+01,  0.2167491E+01,  0.2166442E+01,
  0.1044000E+06,  0.1800000E+04,        25,        10,         1,  0.3117516E+01,  0.3117499E+01,  0.3117496E+01,  0.3117489E+01,  0.3117459E+01,  0.3117410E+01,  0.3117344E+01,  0.3117281E+01,  0.3117496E+01,  0.3117479E+01,  0.3117422E+01,  0.3117347E+01,  0.3117280E+01,  0.3117237E+01,  0.2157097E+01,  0.2155650E+01,  0.2154572E+01,  0.2153728E+01,
  0.1062000E+06,  0.1800000E+04,        25,        11,         1,  0.3108902E+01,  0.3108888E+01,  0.3108886E+01,  0.3108880E+01,  0.3108856E+01,  0.3108816E+01,  0.3108762E+01,  0.3108712E+01,  0.3108886E+01,  0.3108872E+01,  0.3108826E+01,  0.3108765E+01,  0.3108711E+01,  0.3108676E+01,  0.2145062E+01,  0.2143880E+01,  0.2143003E+01,  0.2142321E+01,
  0.1080000E+06,  0.1800000E+04,        25,        12,         1,  0.3101186E+01,  0.3101175E+01,  0.3101173E+01,  0.3101168E+01,  0.3101148E+01,  0.3101116E+01,  0.3101072E+01,  0.3101031E+01,  0.3101173E+01,  0.3101161E+01,  0.3101124E+01,  0.3101074E+01,  0.3101030E+01,  0.3101002E+01,  0.2134328E+01,  0.2133357E+01,  0.2132640E+01,  0.2132086E+01,
  0.1098000E+06,  0.1800000E+04,        25,        13,         1,  0.3094233E+01,  0.3094223E+01,  0.3094222E+01,  0.3094218E+01,  0.3094202E+01,  0.3094175E+01,  0.3094140E+01,  0.3094106E+01,  0.3094222E+01,  0.3094213E+01,  0.3094182E+01,  0.3094141E+01,  0.3094106E+01,  0.3094082E+01,  0.2124748E+01,  0.2123949E+01,  0.2123360E+01,  0.2122907E+01,
  0.1116000E+06,  0.1800000E+04,        25,        14,         1,  0.3087949E+01,  0.3087942E+01,  0.3087940E+01,  0.3087937E+01,  0.3087924E+01,  0.3087902E+01,  0.3087873E+01,  0.3087845E+01,  0.3087940E+01,  0.3087933E+01,  0.3087908E+01,  0.3087874E+01,  0.3087845E+01,  0.3087826E+01,  0.2116161E+01,  0.2115499E+01,  0.2115014E+01,  0.2114640E+01,
