TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,STAGE0000000019,
  0.4100005E+02,  0.6977081E-02,        41,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1190230E+01,  0.1190230E+01,  0.1190230E+01,  0.1190230E+01,  0.1190230E+01,  0.1190230E+01,  0.1190230E+01,  0.1190230E+01,  0.9863426E+00,  0.9863426E+00,  0.5003828E+00,  0.5003823E+00,  0.7004545E+00,
  0.4200006E+02,  0.6977081E-02,        42,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1183211E+01,  0.1183211E+01,  0.1183211E+01,  0.1183211E+01,  0.1183211E+01,  0.1183211E+01,  0.1183211E+01,  0.1183211E+01,  0.9822140E+00,  0.9822140E+00,  0.5002814E+00,  0.5002811E+00,  0.7004068E+00,
  0.4300006E+02,  0.6977081E-02,        43,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1176059E+01,  0.1176059E+01,  0.1176059E+01,  0.1176059E+01,  0.1176059E+01,  0.1176059E+01,  0.1176059E+01,  0.1176059E+01,  0.9780784E+00,  0.9780784E+00,  0.5001880E+00,  0.5001879E+00,  0.7003624E+00,
  0.4400007E+02,  0.6977081E-02,        44,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1168878E+01,  0.1168878E+01,  0.1168878E+01,  0.1168878E+01,  0.1168878E+01,  0.1168878E+01,  0.1168878E+01,  0.1168878E+01,  0.9739362E+00,  0.9739362E+00,  0.5001119E+00,  0.5001118E+00,  0.7003232E+00,
  0.4500008E+02,  0.6977081E-02,        45,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1161741E+01,  0.1161741E+01,  0.1161741E+01,  0.1161741E+01,  0.1161741E+01,  0.1161741E+01,  0.1161741E+01,  0.1161741E+01,  0.9697888E+00,  0.9697888E+00,  0.5000078E+00,  0.5000077E+00,  0.7002809E+00,
  0.4600009E+02,  0.6977081E-02,        46,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1154682E+01,  0.1154682E+01,  0.1154682E+01,  0.1154682E+01,  0.1154682E+01,  0.1154682E+01,  0.1154682E+01,  0.1154682E+01,  0.9656372E+00,  0.9656372E+00,  0.4998385E+00,  0.4998385E+00,  0.7002378E+00,
  0.4700010E+02,  0.6977081E-02,        47,         6,        24,  0.1539000E+01,  0.1539000E+01,  0.1539000E+01,  0.1539000E+01,  0.1539000E+01,  0.1539000E+01,  0.1217369E+01,  0.1217369E+01,  0.1217369E+01,  0.1217369E+01,  0.1217369E+01,  0.1217369E+01,  0.1217369E+01,  0.1217369E+01,  0.9644037E+00,  0.9644037E+00,  0.5008598E+00,  0.5008524E+00,  0.7019015E+00,
  0.4800010E+02,  0.6977081E-02,        48,         6,        24,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1223577E+01,  0.1223577E+01,  0.1223577E+01,  0.1223577E+01,  0.1223577E+01,  0.1223577E+01,  0.1223577E+01,  0.1223577E+01,  0.9602520E+00,  0.9602520E+00,  0.4995970E+00,  0.4995970E+00,  0.7001712E+00,
  0.4900011E+02,  0.6977081E-02,        49,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1215316E+01,  0.1215316E+01,  0.1215316E+01,  0.1215316E+01,  0.1215316E+01,  0.1215316E+01,  0.1215316E+01,  0.1215316E+01,  0.9566129E+00,  0.9566129E+00,  0.5002853E+00,  0.5002850E+00,  0.7007804E+00,
  0.5000012E+02,  0.6977081E-02,        50,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1200508E+01,  0.1200508E+01,  0.1200508E+01,  0.1200508E+01,  0.1200508E+01,  0.1200508E+01,  0.1200508E+01,  0.1200508E+01,  0.9524671E+00,  0.9524671E+00,  0.4996117E+00,  0.4996117E+00,  0.7001045E+00,
  0.5100013E+02,  0.6977081E-02,        51,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1188208E+01,  0.1188208E+01,  0.1188208E+01,  0.1188208E+01,  0.1188208E+01,  0.1188208E+01,  0.1188208E+01,  0.1188208E+01,  0.9483209E+00,  0.9483209E+00,  0.4988920E+00,  0.4988920E+00,  0.7000484E+00,
  0.5200013E+02,  0.6977081E-02,        52,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1177522E+01,  0.1177522E+01,  0.1177522E+01,  0.1177522E+01,  0.1177522E+01,  0.1177522E+01,  0.1177522E+01,  0.1177522E+01,  0.9441736E+00,  0.9441736E+00,  0.4978944E+00,  0.4978944E+00,  0.6999117E+00,
  0.5300014E+02,  0.6977081E-02,        53,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1167943E+01,  0.1167943E+01,  0.1167943E+01,  0.1167943E+01,  0.1167943E+01,  0.1167943E+01,  0.1167943E+01,  0.1167943E+01,  0.9400260E+00,  0.9400260E+00,  0.4968754E+00,  0.4968754E+00,  0.6993071E+00,
  0.5400015E+02,  0.6977081E-02,        54,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1159163E+01,  0.1159163E+01,  0.1159163E+01,  0.1159163E+01,  0.1159163E+01,  0.1159163E+01,  0.1159163E+01,  0.1159163E+01,  0.9358788E+00,  0.9358788E+00,  0.4957479E+00,  0.4957479E+00,  0.6982549E+00,
  0.5500016E+02,  0.6977081E-02,        55,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1150972E+01,  0.1150972E+01,  0.1150972E+01,  0.1150972E+01,  0.1150972E+01,  0.1150972E+01,  0.1150972E+01,  0.1150972E+01,  0.9317326E+00,  0.9317326E+00,  0.4945811E+00,  0.4945811E+00,  0.6968553E+00,
  0.5600016E+02,  0.6977081E-02,        56,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1143245E+01,  0.1143245E+01,  0.1143245E+01,  0.1143245E+01,  0.1143245E+01,  0.1143245E+01,  0.1143245E+01,  0.1143245E+01,  0.9275878E+00,  0.9275878E+00,  0.4933919E+00,  0.4933919E+00,  0.6951904E+00,
  0.5700017E+02,  0.6977081E-02,        57,         6,        24,  0.1580000E+01,  0.1580000E+01,  0.1580000E+01,  0.1580000E+01,  0.1580000E+01,  0.1580000E+01,  0.1265804E+01,  0.1265804E+01,  0.1265804E+01,  0.1265804E+01,  0.1265804E+01,  0.1265804E+01,  0.1265804E+01,  0.1265804E+01,  0.1079077E+01,  0.1079077E+01,  0.9154138E+00,  0.5820087E+00,  0.9155343E+00,
  0.5800018E+02,  0.6977081E-02,        58,         6,        24,  0.1558000E+01,  0.1558000E+01,  0.1558000E+01,  0.1558000E+01,  0.1558000E+01,  0.1558000E+01,  0.1216491E+01,  0.1216491E+01,  0.1216491E+01,  0.1216491E+01,  0.1216491E+01,  0.1216491E+01,  0.1216491E+01,  0.1216491E+01,  0.1045832E+01,  0.1045832E+01,  0.6783448E+00,  0.5372314E+00,  0.7015088E+00,
  0.5900019E+02,  0.6977081E-02,        59,         6,        24,  0.1546000E+01,  0.1546000E+01,  0.1546000E+01,  0.1546000E+01,  0.1546000E+01,  0.1546000E+01,  0.1236113E+01,  0.1236113E+01,  0.1236113E+01,  0.1236113E+01,  0.1236113E+01,  0.1236113E+01,  0.1236113E+01,  0.1236113E+01,  0.1013860E+01,  0.1013860E+01,  0.5524004E+00,  0.5170569E+00,  0.7006907E+00,
