TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,STAGE0000000019,
  0.1960013E+03,  0.6958008E-02,       196,         6,        24,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1217824E+01,  0.1217824E+01,  0.1217824E+01,  0.1217824E+01,  0.1217824E+01,  0.1217824E+01,  0.1217824E+01,  0.1217824E+01,  0.1000986E+01,  0.1000986E+01,  0.5015951E+00,  0.5015658E+00,  0.7008870E+00,
  0.1970013E+03,  0.6958008E-02,       197,         6,        24,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1231995E+01,  0.1231995E+01,  0.1231995E+01,  0.1231995E+01,  0.1231995E+01,  0.1231995E+01,  0.1231995E+01,  0.1231995E+01,  0.9968244E+00,  0.9968244E+00,  0.5006032E+00,  0.5006025E+00,  0.7006184E+00,
  0.1980014E+03,  0.6958008E-02,       198,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1227251E+01,  0.1227251E+01,  0.1227251E+01,  0.1227251E+01,  0.1227251E+01,  0.1227251E+01,  0.1227251E+01,  0.1227251E+01,  0.9926507E+00,  0.9926507E+00,  0.5004291E+00,  0.5004289E+00,  0.7002638E+00,
  0.1990014E+03,  0.6958008E-02,       199,         6,        24,  0.1547000E+01,  0.1547000E+01,  0.1547000E+01,  0.1547000E+01,  0.1547000E+01,  0.1547000E+01,  0.1247631E+01,  0.1247631E+01,  0.1247631E+01,  0.1247631E+01,  0.1247631E+01,  0.1247631E+01,  0.1247631E+01,  0.1247631E+01,  0.1016199E+01,  0.1016199E+01,  0.5765020E+00,  0.5216725E+00,  0.7098620E+00,
  0.2000014E+03,  0.6958008E-02,       200,         6,        24,  0.1539000E+01,  0.1539000E+01,  0.1539000E+01,  0.1539000E+01,  0.1539000E+01,  0.1539000E+01,  0.1230837E+01,  0.1230837E+01,  0.1230837E+01,  0.1230837E+01,  0.1230837E+01,  0.1230837E+01,  0.1230837E+01,  0.1230837E+01,  0.1003759E+01,  0.1003759E+01,  0.5062835E+00,  0.5051149E+00,  0.7024440E+00,
  0.2010014E+03,  0.6958008E-02,       201,         6,        24,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1207100E+01,  0.1207100E+01,  0.1207100E+01,  0.1207100E+01,  0.1207100E+01,  0.1207100E+01,  0.1207100E+01,  0.1207100E+01,  0.1004360E+01,  0.1004360E+01,  0.5070120E+00,  0.5054458E+00,  0.7006663E+00,
  0.2020015E+03,  0.6958008E-02,       202,         6,        24,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1210151E+01,  0.1210151E+01,  0.1210151E+01,  0.1210151E+01,  0.1210151E+01,  0.1210151E+01,  0.1210151E+01,  0.1210151E+01,  0.1007538E+01,  0.1007538E+01,  0.5206212E+00,  0.5105707E+00,  0.7059590E+00,
  0.2030015E+03,  0.6958008E-02,       203,         6,        24,  0.1559000E+01,  0.1559000E+01,  0.1559000E+01,  0.1559000E+01,  0.1559000E+01,  0.1559000E+01,  0.1258109E+01,  0.1258109E+01,  0.1258109E+01,  0.1258109E+01,  0.1258109E+01,  0.1258109E+01,  0.1258109E+01,  0.1258109E+01,  0.1042573E+01,  0.1042573E+01,  0.7398600E+00,  0.5494131E+00,  0.7448211E+00,
  0.2040015E+03,  0.6958008E-02,       204,         6,        24,  0.1558000E+01,  0.1558000E+01,  0.1558000E+01,  0.1558000E+01,  0.1558000E+01,  0.1558000E+01,  0.1249131E+01,  0.1249131E+01,  0.1249131E+01,  0.1249131E+01,  0.1249131E+01,  0.1249131E+01,  0.1249131E+01,  0.1249131E+01,  0.1048733E+01,  0.1048733E+01,  0.7793689E+00,  0.5573742E+00,  0.7796470E+00,
  0.2050016E+03,  0.6958008E-02,       205,         6,        24,  0.1547000E+01,  0.1547000E+01,  0.1547000E+01,  0.1547000E+01,  0.1547000E+01,  0.1547000E+01,  0.1222480E+01,  0.1222480E+01,  0.1222480E+01,  0.1222480E+01,  0.1222480E+01,  0.1222480E+01,  0.1222480E+01,  0.1222480E+01,  0.1023233E+01,  0.1023233E+01,  0.5927106E+00,  0.5237248E+00,  0.7038291E+00,
