TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,STAGE0000000019,
  0.3900003E+02,  0.6977081E-02,        39,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1209957E+01,  0.1209957E+01,  0.1209957E+01,  0.1209957E+01,  0.1209957E+01,  0.1209957E+01,  0.1209957E+01,  0.1209957E+01,  0.9934091E+00,  0.9934091E+00,  0.5005944E+00,  0.5005933E+00,  0.7005377E+00,
  0.4000004E+02,  0.6977081E-02,        40,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1202931E+01,  0.1202931E+01,  0.1202931E+01,  0.1202931E+01,  0.1202931E+01,  0.1202931E+01,  0.1202931E+01,  0.1202931E+01,  0.9893075E+00,  0.9893075E+00,  0.5004753E+00,  0.5004746E+00,  0.7004958E+00,
  0.4100005E+02,  0.6977081E-02,        41,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1195601E+01,  0.1195601E+01,  0.1195601E+01,  0.1195601E+01,  0.1195601E+01,  0.1195601E+01,  0.1195601E+01,  0.1195601E+01,  0.9851958E+00,  0.9851958E+00,  0.5003976E+00,  0.5003972E+00,  0.7004570E+00,
  0.4200006E+02,  0.6977081E-02,        42,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1188134E+01,  0.1188134E+01,  0.1188134E+01,  0.1188134E+01,  0.1188134E+01,  0.1188134E+01,  0.1188134E+01,  0.1188134E+01,  0.9810748E+00,  0.9810748E+00,  0.5002805E+00,  0.5002803E+00,  0.7004063E+00,
  0.4300006E+02,  0.6977081E-02,        43,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1180643E+01,  0.1180643E+01,  0.1180643E+01,  0.1180643E+01,  0.1180643E+01,  0.1180643E+01,  0.1180643E+01,  0.1180643E+01,  0.9769462E+00,  0.9769462E+00,  0.5002058E+00,  0.5002057E+00,  0.7003677E+00,
  0.4400007E+02,  0.6977081E-02,        44,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1173196E+01,  0.1173196E+01,  0.1173196E+01,  0.1173196E+01,  0.1173196E+01,  0.1173196E+01,  0.1173196E+01,  0.1173196E+01,  0.9728112E+00,  0.9728112E+00,  0.5001107E+00,  0.5001106E+00,  0.7003228E+00,
  0.4500008E+02,  0.6977081E-02,        45,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1165837E+01,  0.1165837E+01,  0.1165837E+01,  0.1165837E+01,  0.1165837E+01,  0.1165837E+01,  0.1165837E+01,  0.1165837E+01,  0.9686709E+00,  0.9686709E+00,  0.5000356E+00,  0.5000356E+00,  0.7002818E+00,
  0.4600009E+02,  0.6977081E-02,        46,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1158597E+01,  0.1158597E+01,  0.1158597E+01,  0.1158597E+01,  0.1158597E+01,  0.1158597E+01,  0.1158597E+01,  0.1158597E+01,  0.9645264E+00,  0.9645264E+00,  0.4999577E+00,  0.4999577E+00,  0.7002407E+00,
  0.4700010E+02,  0.6977081E-02,        47,         6,        24,  0.1539000E+01,  0.1539000E+01,  0.1539000E+01,  0.1539000E+01,  0.1539000E+01,  0.1539000E+01,  0.1221171E+01,  0.1221171E+01,  0.1221171E+01,  0.1221171E+01,  0.1221171E+01,  0.1221171E+01,  0.1221171E+01,  0.1221171E+01,  0.9633006E+00,  0.9633006E+00,  0.5008730E+00,  0.5008647E+00,  0.7019047E+00,
  0.4800010E+02,  0.6977081E-02,        48,         6,        24,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1227352E+01,  0.1227352E+01,  0.1227352E+01,  0.1227352E+01,  0.1227352E+01,  0.1227352E+01,  0.1227352E+01,  0.1227352E+01,  0.9591566E+00,  0.9591566E+00,  0.4997543E+00,  0.4997542E+00,  0.7001804E+00,
